pitch_accel,pitch_filtered,front_motor_pwm,back_motor_pwm,,,,,
-272.6964,-10.1114,1098.81128,1101.18872,,,,,
-20.039,-10.1812,1097.47217,1102.52783,,,,,
-528.0406,-20.5548,1097.45471,1102.54529,,,,,
272.017,-14.622,1094.86133,1105.13867,,,,,
-132.8716,-16.9726,1096.34448,1103.65552,,,,,
3410.2328,51.4694,1095.75684,1104.24316,,,,,
646.0294,63.4564,1112.86731,1087.13269,,,,,
688.618,76.0244,1115.86414,1084.13586,,,,,
188.6998,78.1444,1119.0061,1080.9939,,,,,
445.3706,85.4896,1119.53613,1080.46387,,,,,
-94.3394,82.0056,1121.37244,1078.62756,,,,,
161.0356,83.457,1120.50146,1079.49854,,,,,
-172.7866,78.191,1120.86426,1079.13574,,,,,
249.91,81.7218,1119.54773,1080.45227,,,,,
404.3044,88.1798,1120.43042,1079.56958,,,,,
467.2792,95.6658,1122.04492,1077.95508,,,,,
1109.3808,116.0876,1123.9165,1076.0835,,,,,
-1172.3942,90.4698,1129.02185,1070.97815,,,,,
265.6336,93.6862,1122.61743,1077.38257,,,,,
239.4804,96.5056,1123.42151,1076.57849,,,,,
449.5272,103.6994,1124.12634,1075.87366,,,,,
-494.2602,91.7284,1125.92493,1074.07507,,,,,
-245.2522,84.8962,1122.93213,1077.06787,,,,,
72.0306,84.6532,1121.224,1078.776,,,,,
485.0744,92.7446,1121.16333,1078.83667,,,,,
159.3882,94.111,1123.18616,1076.81384,,,,,
-441.5524,83.2822,1123.52771,1076.47229,,,,,
38.5728,82.3672,1120.82056,1079.17944,,,,,
77.771,82.4656,1120.5918,1079.4082,,,,,
-425.32,72.2582,1120.61633,1079.38367,,,,,
-65.6954,69.406,1118.06458,1081.93542,,,,,
57.6202,69.0616,1117.35156,1082.64844,,,,,
555.7514,78.711,1117.26538,1082.73462,,,,,
-486.4312,67.5088,1119.67773,1080.32227,,,,,
-661.114,52.907,1116.8772,1083.1228,,,,,
-337.8532,45.0874,1113.22668,1086.77332,,,,,
-385.9104,36.5532,1111.27185,1088.72815,,,,,
239.4826,40.618,1109.13831,1090.86169,,,,,
453.6162,48.8402,1110.15454,1089.84546,,,,,
-133.3628,45.1694,1112.21008,1087.78992,,,,,
183.2196,47.898,1111.29236,1088.70764,,,,,
-572.6686,35.5944,1111.97449,1088.02551,,,,,
402.0872,42.9124,1108.89856,1091.10144,,,,,
-90.608,40.2418,1110.72803,1089.27197,,,,,
69.449,40.872,1110.06042,1089.93958,,,,,
-60.6296,38.8762,1110.21802,1089.78198,,,,,
-367.8296,30.674,1109.71912,1090.28088,,,,,
149.2546,32.942,1107.66846,1092.33154,,,,,
1.2024,32.4112,1108.23547,1091.76453,,,,,
-371.2184,24.4576,1108.10278,1091.89722,,,,,
60.8262,25.0768,1106.11438,1093.88562,,,,,
31.1046,25.0682,1106.26917,1093.73083,,,,,
246.084,29.647,1106.26697,1093.73303,,,,,
112.5538,31.397,1107.41174,1092.58826,,,,,
37.3054,31.3932,1107.84924,1092.15076,,,,,
-653.9024,17.6972,1107.84827,1092.15173,,,,,
-35.3834,16.8122,1104.42432,1095.57568,,,,,
-81.3222,14.77,1104.20312,1095.79688,,,,,
-151.3126,11.3472,1103.6925,1096.3075,,,,,
-460.5862,1.8998,1102.83679,1097.16321,,,,,
340.0404,8.755,1100.47498,1099.52502,,,,,
52.0984,9.6606,1102.18872,1097.81128,,,,,
-258.1814,4.4288,1102.41516,1097.58484,,,,,
64.3962,5.6132,1101.10718,1098.89282,,,,,
-52.7868,4.5224,1101.40332,1098.59668,,,,,
725.6172,18.8896,1101.13062,1098.86938,,,,,
154.3426,21.539,1104.72241,1095.27759,,,,,
310.4758,27.3956,1105.38477,1094.61523,,,,,
-185.2318,22.9536,1106.84888,1093.15112,,,,,
1387.7874,49.902,1105.7384,1094.2616,,,,,
430.3486,57.6316,1112.47546,1087.52454,,,,,
-204.2918,52.5204,1114.40784,1085.59216,,,,,
-186.1082,47.7832,1113.13013,1086.86987,,,,,
-669.2588,33.6424,1111.9458,1088.0542,,,,,
-203.3504,29.248,1108.41064,1091.58936,,,,,
-183.5794,24.8942,1107.31201,1092.68799,,,,,
-122.1602,21.7838,1106.22351,1093.77649,,,,,
-344.2758,14.7046,1105.44592,1094.55408,,,,,
-501.411,4.3864,1103.67615,1096.32385,,,,,
-95.141,2.0786,1101.09668,1098.90332,,,,,
-68.7634,0.6228,1100.51965,1099.48035,,,,,
-728.023,-13.7356,1100.15576,1099.84424,,,,,
-766.4732,-28.9614,1096.56616,1103.43384,,,,,
286.4638,-22.7696,1092.75964,1107.24036,,,,,
569.4948,-10.6962,1094.30762,1105.69238,,,,,
417.9358,-1.8332,1097.32593,1102.67407,,,,,
-644.1844,-15.0324,1099.54175,1100.45825,,,,,
243.4936,-9.8144,1096.24182,1103.75818,,,,,
45.903,-8.5046,1097.54639,1102.45361,,,,,
124.1856,-6.0088,1097.8739,1102.1261,,,,,
200.256,-2.033,1098.4978,1101.5022,,,,,
-35.5792,-2.5814,1099.4917,1100.5083,,,,,
-331.9126,-9.1094,1099.35461,1100.64539,,,,,
-141.8596,-11.9766,1097.72266,1102.27734,,,,,
328.8796,-5.1228,1097.00586,1102.99414,,,,,
-473.2598,-14.4704,1098.71936,1101.28064,,,,,
-314.729,-20.6352,1096.38232,1103.61768,,,,,
2.4296,-20.282,1094.84119,1105.15881,,,,,
-342.1344,-26.5538,1094.92957,1105.07043,,,,,
-453.5692,-34.8004,1093.36157,1106.63843,,,,,
69.9914,-32.7798,1091.29993,1108.70007,,,,,
-555.6192,-43.1872,1091.80505,1108.19495,,,,,
-57.0496,-43.416,1089.20325,1110.79675,,,,,
-316.0752,-49.1588,1089.146,1110.854,,,,,
2966.2976,11.1676,1087.71033,1112.28967,,,,,
186.9218,14.8112,1102.79187,1097.20813,,,,,
135.7916,17.1816,1103.70276,1096.29724,,,,,
488.3678,26.4412,1104.29541,1095.70459,,,,,
439.3044,34.723,1106.61035,1093.38965,,,,,
134.0976,36.4898,1108.68079,1091.31921,,,,,
-517.0064,25.5062,1109.12244,1090.87756,,,,,
1580.3468,56.8048,1106.37659,1093.62341,,,,,
-161.6894,52.2758,1114.20117,1085.79883,,,,,
174.524,54.632,1113.06897,1086.93103,,,,,
-469.6834,44.3454,1113.65796,1086.34204,,,,,
-296.1868,37.5074,1111.0863,1088.9137,,,,,
-887.9446,18.893,1109.37683,1090.62317,,,,,
-187.507,14.8846,1104.72327,1095.27673,,,,,
-561.085,3.454,1103.72119,1096.27881,,,,,
38.8032,4.0006,1100.86353,1099.13647,,,,,
307.3812,10.0842,1101.00012,1098.99988,,,,,
234.399,14.8008,1102.52112,1097.47888,,,,,
-416.2714,6.1772,1103.7002,1096.2998,,,,,
421.7136,14.3006,1101.54431,1098.45569,,,,,
-512.6328,3.8528,1103.5752,1096.4248,,,,,
135.8074,6.5788,1100.96326,1099.03674,,,,,
-247.9258,1.3336,1101.64465,1098.35535,,,,,
57.3828,2.607,1100.33337,1099.66663,,,,,
143.294,5.131,1100.65173,1099.34827,,,,,
-681.0642,-8.5898,1101.28271,1098.71729,,,,,
416.1606,-0.4414,1097.85254,1102.14746,,,,,
295.1,5.5788,1099.88965,1100.11035,,,,,
70.1154,7.1192,1101.39465,1098.60535,,,,,
-5.7,6.3702,1101.77979,1098.22021,,,,,
36.947,7.1646,1101.59253,1098.40747,,,,,
-733.3052,-6.5268,1101.79114,1098.20886,,,,,
-211.1274,-10.8822,1098.36829,1101.63171,,,,,
168.0722,-7.5354,1097.27942,1102.72058,,,,,
170.0684,-3.6804,1098.11621,1101.88379,,,,,
-70.0766,-5.309,1099.07996,1100.92004,,,,,
-138.5138,-7.6996,1098.67273,1101.32727,,,,,
-312.8842,-13.6708,1098.07507,1101.92493,,,,,
451.3544,-4.3914,1096.58228,1103.41772,,,,,
-548.6546,-14.7772,1098.9021,1101.0979,,,,,
-170.1054,-17.847,1096.30566,1103.69434,,,,,
501.0042,-4.9374,1095.53821,1104.46179,,,,,
-41.0566,-4.6378,1098.76562,1101.23438,,,,,
-349.4362,-11.2044,1098.84058,1101.15942,,,,,
333.5044,-3.2686,1097.19897,1102.80103,,,,,
-221.3782,-7.1006,1099.18286,1100.81714,,,,,
352.7358,0.5354,1098.22485,1101.77515,,,,,
-40.2478,0.8222,1100.13391,1099.86609,,,,,
-462.6434,-8.1048,1100.20557,1099.79443,,,,,
152.1226,-4.2494,1097.97375,1102.02625,,,,,
-354.0336,-10.3706,1098.93762,1101.06238,,,,,
411.4124,-1.3378,1097.40735,1102.59265,,,,,
403.4508,7.733,1099.66553,1100.33447,,,,,
-361.6278,4.514,1101.93323,1098.06677,,,,,
285.9076,11.8452,1101.12854,1098.87146,,,,,
481.7144,22.197,1102.9613,1097.0387,,,,,
-59.1942,21.9964,1105.54932,1094.45068,,,,,
-413.877,14.5554,1105.49915,1094.50085,,,,,
-192.0052,11.5104,1103.63879,1096.36121,,,,,
644.3896,25.4162,1102.87756,1097.12244,,,,,
-222.6088,21.846,1106.354,1093.646,,,,,
-147.7494,19.5086,1105.46155,1094.53845,,,,,
303.129,26.4616,1104.8772,1095.1228,,,,,
