connected to i2c device 5
imu who am i is 113 
                    
accel config 2 8 
calibration complete, 1.237252 -0.576082 1.413092 -3.090998 -3.121753 0.000000
shared memory attached at address 0xb6f65000
segment size: 25600
  -0.45626,  -0.00949,   0.00000,   0.00000
  -0.52513,  -0.01946,1099.95251,1100.04749
  -0.22732,  -0.02372,1099.90271,1100.09729
  -0.99904,  -0.04259,1099.88135,1100.11865
  -1.05402,  -0.06266,1099.78699,1100.21301
  -0.72392,  -0.07626,1099.68665,1100.31335
  -0.99689,  -0.09438,1099.61865,1100.38135
  -0.53013,  -0.10299,1099.52808,1100.47192
  -0.37171,  -0.10808,1099.48499,1100.51501
  -0.72549,  -0.12054,1099.45959,1100.54041
  -0.97315,  -0.13745,1099.39734,1100.60266
  -0.50680,  -0.14509,1099.31274,1100.68726
  -0.01016,  -0.14233,1099.27454,1100.72546
  -0.36136,  -0.14635,1099.28833,1100.71167
  -0.45497,  -0.15260,1099.26819,1100.73181
   0.39045,  -0.14145,1099.23706,1100.76294
  -0.71768,  -0.15302,1099.29272,1100.70728
  -0.47212,  -0.15940,1099.23486,1100.76514
  -0.09657,  -0.15743,1099.20300,1100.79700
  -1.08137,  -0.17595,1099.21289,1100.78711
  -0.72132,  -0.18715,1099.12024,1100.87976
  -0.63825,  -0.19602,1099.06433,1100.93567
   0.45291,  -0.18236,1099.01990,1100.98010
  -0.55714,  -0.19004,1099.08813,1100.91187
  -0.28284,  -0.19176,1099.04980,1100.95020
  -0.39157,  -0.19583,1099.04126,1100.95874
  -0.58367,  -0.20312,1099.02087,1100.97913
   0.55042,  -0.18770,1098.98438,1101.01562
   0.42806,  -0.17546,1099.06152,1100.93848
   0.02453,  -0.17142,1099.12268,1100.87732
   0.44384,  -0.15858,1099.14294,1100.85706
  -0.21310,  -0.15939,1099.20703,1100.79297
   0.50534,  -0.14589,1099.20300,1100.79700
  -0.22645,  -0.14746,1099.27063,1100.72937
  -0.35722,  -0.15141,1099.26270,1100.73730
  -0.43835,  -0.15751,1099.24292,1100.75708
  -0.38905,  -0.16257,1099.21240,1100.78760
   0.55368,  -0.14814,1099.18713,1100.81287
  -0.23642,  -0.15034,1099.25928,1100.74072
   0.09971,  -0.14512,1099.24829,1100.75171
   0.50944,  -0.13168,1099.27441,1100.72559
  -0.74523,  -0.14384,1099.34167,1100.65833
  -0.06150,  -0.14223,1099.28076,1100.71924
  -0.39763,  -0.14821,1099.28882,1100.71118
  -2.36239,  -0.19317,1099.25903,1100.74097
  -3.56259,  -0.26306,1099.03418,1100.96582
  -4.46631,  -0.34277,1098.68469,1101.31531
  -2.07099,  -0.37478,1098.28613,1101.71387
  -3.61797,  -0.43359,1098.12610,1101.87390
   1.95443,  -0.39030,1097.83203,1102.16797
   1.50129,  -0.34557,1098.04846,1101.95154
  -2.27895,  -0.38206,1098.27222,1101.72778
  -1.40430,  -0.40004,1098.08972,1101.91028
  -5.79355,  -0.50219,1097.99976,1102.00024
   1.83258,  -0.46108,1097.48901,1102.51099
   4.58543,  -0.35929,1097.69458,1102.30542
  -2.35788,  -0.39819,1098.20361,1101.79639
  -4.75752,  -0.48459,1098.00903,1101.99097
  -5.17189,  -0.57910,1097.57703,1102.42297
   6.23670,  -0.43936,1097.10449,1102.89551
   0.47768,  -0.42345,1097.80322,1102.19678
   0.69570,  -0.41263,1097.88269,1102.11731
 -12.14868,  -0.64916,1097.93689,1102.06311
  29.22026,  -0.04543,1096.75427,1103.24573
   0.20466,  -0.03921,1099.77283,1100.22717
  -3.10928,  -0.09842,1099.80396,1100.19604
  11.06614,   0.12457,1099.50793,1100.49207
  32.06406,   0.76840,1100.62280,1099.37720
 -10.43190,   0.54450,1103.84204,1096.15796
 -20.39491,   0.12044,1102.72253,1097.27747
  20.68459,   0.52844,1100.60217,1099.39783
  70.11355,   1.92433,1102.64221,1097.35779
 -17.83730,   1.53491,1109.62158,1090.37842
  64.29251,   2.78548,1107.67456,1092.32544
 -28.35282,   2.15944,1113.92737,1086.07263
