connected to i2c device 5
imu who am i is 113 
                    
calibration complete, 1.157613 -0.554720 1.499686 2.989242 -3.085058 0.000000
shared memory attached at address 0xb6f1d000
segment size: 25600
1302.23071,1297.76929,   0.65824,  -6.44479,   0.00158,    0.07578
1303.52637,1296.47363,   1.19231,  -1.63813,   0.00285,    0.11488
1309.19714,1290.80286,   4.94609,  -3.07250,   0.01193,    0.11762
1307.10999,1292.89001,   3.51172,   3.03121,   0.00839,    0.12228
1314.52185,1285.47815,   7.95216,   0.92543,   0.01901,    0.18165
1305.84680,1294.15320,   2.90135, -14.27279,   0.00699,    0.09337
1304.26160,1295.73840,   2.44357,   0.83387,   0.00590,    0.02140
1313.48230,1286.51770,   7.64698,   8.38720,   0.01840,    0.13412
1304.47021,1295.52979,   1.77216, -13.84553,   0.00425,    0.11766
1309.92029,1290.07971,   5.57172,   5.71683,   0.01337,    0.09732
1312.47351,1287.52649,   6.31942, -10.47324,   0.01544,    0.21102
1296.87805,1303.12195,  -3.76695,   4.37402,  -0.00941,    0.17304
1324.45129,1275.54871,  13.85749,   6.26617,   0.03338,    0.26292
1297.06921,1302.93079,  -4.11791, -19.87294,  -0.00991,    0.22849
1295.37769,1304.62231,  -3.96532,   7.77683,  -0.00959,    0.07456
1311.73071,1288.26929,   5.89216,   9.11965,   0.01411,    0.19911
1296.50916,1303.49084,  -2.51569,  -4.00331,  -0.00602,   -0.00964
1301.82117,1298.17883,   1.14653,   5.76261,   0.00273,   -0.02405
1309.84436,1290.15564,   6.80772,   1.99358,   0.01631,   -0.06129
1288.48987,1311.51013,  -5.72013,   5.32009,  -0.01381,   -0.26524
1321.73401,1278.26599,  14.04061,   8.43298,   0.03356,    0.02291
1279.13513,1320.86487, -13.47183,   0.40661,  -0.03243,   -0.08317
1324.44824,1275.55176,  15.18505,  -2.00435,   0.03649,    0.10263
1270.25964,1329.74036, -19.85020,   3.07698,  -0.04883,   -0.02811
1326.54309,1273.45691,  16.74149,   5.33535,   0.03983,    0.08323
1282.88281,1317.11719, -11.65598, -12.10598,  -0.02787,   -0.00189
1300.39502,1299.60498,   0.15468,  10.09624,   0.00037,   -0.01812
1325.23584,1274.76416,  15.68860,  -6.84153,   0.04029,    0.10466
1257.45300,1342.54700, -27.54086,   6.22039,  -0.06629,   -0.12991
1336.46326,1263.53674,  22.76890,   5.41165,   0.05476,    0.15313
1276.15735,1323.84265, -16.75257,  -9.71027,  -0.04011,    0.07095
1280.91528,1319.08472, -14.02116,   9.73002,  -0.03402,    0.12332
1341.95618,1258.04382,  26.72105, -10.73264,   0.06432,    0.11705
1259.70532,1340.29468, -24.64161,   5.28957,  -0.05931,   -0.29830
1313.73596,1286.26404,   8.34890,  11.97313,   0.01998,    0.06503
1322.41504,1277.58496,  11.27868, -12.76212,   0.02785,    0.40616
1247.47729,1352.52271, -36.29967,  10.93550,  -0.08741,    0.12006
